date,value
2026-06-17,14885.71
2026-06-18,14476.26
2026-06-19,14476.26
2026-06-22,14476.26
2026-06-24,14045.27
2026-06-25,13939.68
2026-06-29,15619.96
2026-06-30,15189.32
2026-07-01,15212.76
2026-07-02,15058.25
2026-07-03,15058.25
2026-07-06,15076.41
2026-07-08,14459.78
2026-07-09,14147.07
2026-07-10,14170.96
2026-07-13,14201.2
2026-07-14,14197.86
2026-07-15,14197.86
2026-07-16,14222.13
2026-07-19,14214.17
2026-07-20,14214.17
2026-07-21,14738.61
2026-07-22,14815.36
2026-07-23,15097.73
2026-07-24,15097.73
